국가,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,1.6,76.1,133098,331002651,9823512,-14871,21296,+113357,44055692,+113357,711222,+2103,33520958,+126125
인도🇮🇳,1.3,97.8,24434,1380004385,284976,-4806,8944,+4743,33718984,+4743,447828,+129,32986180,+9420
브라질🇧🇷,2.8,95.3,100592,212559417,403027,-7475,8318,+15395,21381790,+15395,595520,+818,20383243,+22052
영국🇬🇧,1.8,80.9,113959,67886011,1344510,-1886,831,+34520,7736235,+34520,136375,+167,6255350,+36239
러시아🇷🇺,2.8,88.9,51305,145934462,626809,+3117,2300,+22430,7487138,+22430,206388,+857,6653941,+18456
터키🇹🇷,0.9,92.4,84132,84339067,479198,-1683,633,+28892,7095580,+28892,63611,+239,6552771,+30336
프랑스🇫🇷,1.7,96.4,107278,65273511,135537,-6063,1609,+6765,7002393,+6765,116615,+78,6750241,+12750
이란🇮🇷,2.2,89.9,66350,83992949,443129,-8565,6016,+13271,5572962,+13271,120160,+272,5009673,+21564
아르헨티나🇦🇷,2.2,97.4,116245,45195774,23643,+260,1184,+1825,5253765,+1825,115038,+84,5115084,+1481
콜롬비아🇨🇴,2.5,96.8,97368,50882891,32182,-943,542,+1686,4954376,+1686,126219,+41,4795975,+2588
스페인🇪🇸,1.7,95.8,105956,46754778,122061,-7259,771,+2290,4953930,+2290,86358,+60,4745511,+9489
이탈리아🇮🇹,2.8,95.1,77157,60461826,98872,-2208,459,+2962,4665049,+2962,130807,+65,4435370,+5105
독일🇩🇪,2.2,94.5,50384,83783942,137491,-2461,1435,+9130,4221331,+9130,94140,+91,3989700,+11500
인도네시아🇮🇩,3.4,95.7,15404,273523615,37412,-1240,N/A,+1954,4213414,+1954,141826,+117,4034176,+3077
멕시코🇲🇽,7.6,82.3,28275,128932753,370163,+1755,4798,+9792,3645599,+9792,276376,+700,2999060,+7337
폴란드🇵🇱,2.6,91.6,76780,37846611,168111,+1196,174,+1235,2905866,+1235,75623,+22,2662132,+17
남아프리카 공화국🇿🇦,3.0,95.4,48878,59308690,45771,-1722,546,+1367,2898888,+1367,87417,+201,2765700,+2888
필리핀🇵🇭,1.5,93.3,23140,109581078,132339,+200,3170,+12767,2535732,+12767,38164,+478,2365229,+12089
우크라이나🇺🇦,2.3,93.4,55143,43733762,104190,+6168,177,+9666,2411622,+9666,56080,+217,2251352,+3281
말레이시아🇲🇾,1.2,91.0,68607,32365999,174492,-3068,985,+11332,2220526,+11332,25935,+240,2020099,+14160
페루🇵🇪,9.2,N/A,65942,32971854,N/A,,1021,+865,2174219,+865,199329,+15,N/A,
네덜란드🇳🇱,0.9,N/A,116800,17134872,N/A,,155,+1755,2001347,+1755,18168,+6,N/A,
이라크🇮🇶,1.1,95.3,49745,40222493,71237,-1169,497,+2254,2000869,+2254,22221,+34,1907411,+3389
일본🇯🇵*,1.0,96.9,13444,126476461,34636,-2506,1002,+1982,1700326,+1982,17625,+48,1648065,+4440
체코🇨🇿,1.8,97.8,157882,10708981,6284,+50,38,+470,1690758,+470,30455,+1,1654019,+419
칠레🇨🇱,2.3,97.3,86492,19116201,6944,+182,386,+611,1653406,+611,37455,+6,1609007,+423
캐나다🇨🇦,1.7,95.5,42813,37742154,44777,-1676,776,+3428,1615859,+3428,27754,+56,1543328,+5048
태국🇹🇭,1.0,91.7,22806,69799978,115423,-1288,3324,+10414,1591829,+10414,16620,+122,1459786,+11580
방글라데시🇧🇩,1.8,97.4,9442,164689383,12602,+75,1408,+1178,1555051,+1178,27487,+17,1514962,+1086
이스라엘🇮🇱,0.6,95.1,147351,8655535,54167,-2722,659,+5175,1275405,+5175,7692,+8,1213546,+7889
파키스탄🇵🇰,2.2,93.9,5629,220892340,48506,-1462,3948,+1560,1243385,+1560,27690,+52,1167189,+2970
벨기에🇧🇪,2.1,92.9,107012,11589623,62296,+1861,206,+1874,1240232,+1874,25581,+13,1152355,
루마니아🇷🇴,3.0,90.9,63502,19237691,74229,+4573,1320,+10826,1221636,+10826,36865,+207,1110542,+6046
스웨덴🇸🇪,1.3,N/A,114070,10099265,N/A,,37,+854,1152027,+854,14814,+6,N/A,
포르투갈🇵🇹,1.7,95.5,104792,10196709,30495,-52,68,+755,1068530,+755,17968,+6,1020067,+801
세르비아🇷🇸,0.9,85.4,106948,8737371,127947,+2082,243,+8171,934440,+8171,8187,+45,798306,+6044
모로코🇲🇦,1.5,97.0,25220,36910560,13888,-392,498,+1192,930891,+1192,14225,+26,902778,+1558
카자흐스탄🇰🇿,1.3,92.7,47007,18776707,52971,-974,221,+1925,882634,+1925,11142,+42,818521,+2857
쿠바🇨🇺,0.8,95.6,77024,11326616,31043,-1708,421,+5617,872425,+5617,7378,+48,834004,+7277
스위스🇨🇭,1.3,91.3,96968,8654622,62199,-4748,186,+1451,839218,+1451,11087,+8,765932,+6191
헝가리🇭🇺,3.7,95.4,85098,9660351,7348,-184,81,+546,822072,+546,30185,+6,784539,+724
요르단🇯🇴,1.3,97.2,80548,10203134,12397,+69,480,+1042,821840,+1042,10703,+6,798740,+967
네팔🇳🇵,1.4,96.3,27256,29136808,18193,-229,N/A,+892,794163,+892,11123,+8,764847,+1113
베트남🇻🇳,2.5,74.9,8007,97338579,176791,-14972,N/A,+8758,779398,+8758,19098,+162,583509,+23568
오스트리아🇦🇹,1.5,95.8,82280,9006398,19979,+62,226,+2283,741046,+2283,10998,+12,710069,+2209
아랍에미레이트🇦🇪,0.3,99.0,74388,9890402,5437,-81,N/A,+270,735727,+270,2095,+1,728195,+350
튀니지🇹🇳,3.5,95.4,59763,11818619,7482,+240,295,+840,706314,+840,24842,+48,673990,+552
그리스🇬🇷,2.3,93.4,62494,10423054,28545,+3263,322,+3287,651378,+3287,14751,+24,608082,
레바논🇱🇧,1.3,95.0,91274,6825445,22532,-610,200,+543,622983,+543,8306,+10,592145,+1143
조지아🇬🇪,1.5,95.3,153232,3989167,19547,-18,N/A,+1929,611269,+1929,8917,+33,582805,+1914
과테말라🇬🇹,2.4,92.5,30883,17915568,28158,-1004,5,+2956,553289,+2956,13453,+59,511678,+3901
사우디아라비아🇸🇦,1.6,98.0,15715,34813871,2252,+5,224,+55,547090,+55,8713,+4,536125,+46
벨라루스🇧🇾,0.8,96.5,56734,9449323,14658,+698,N/A,+1993,536097,+1993,4114,,517325,+1295
코스타리카🇨🇷,1.2,80.7,103664,5094118,95376,+731,449,+2078,528077,+2078,6316,+39,426385,+1308
스리랑카🇱🇰,2.5,88.5,24075,21413249,46651,+134,N/A,+932,515524,+932,12786,+55,456087,+743
에콰도르🇪🇨,6.4,87.3,28830,17643054,32028,,759,,508655,,32747,,443880,
볼리비아🇧🇴,3.7,91.8,42804,11673021,22033,-235,220,+446,499648,+446,18716,+9,458899,+672
불가리아🇧🇬,4.2,87.2,71666,6948445,42771,+327,449,+2573,497970,+2573,20725,+87,434474,+2159
아제르바이잔🇦🇿,1.3,94.1,47479,10139177,21957,,N/A,,481401,,6476,,452968,
파나마🇵🇦,1.5,97.7,108138,4314767,3420,-144,61,+232,466589,+232,7219,+3,455950,+373
미얀마🇲🇲,3.8,90.1,8474,54409800,28059,+27,N/A,+1630,461066,+1630,17631,+48,415376,+1555
파라과이🇵🇾,3.5,96.3,64479,7132538,751,-59,21,+44,459899,+44,16193,+2,442955,+101
쿠웨이트🇰🇼,0.6,99.2,96374,4270571,665,+3,10,+39,411572,+39,2448,+1,408459,+35
슬로바키아🇸🇰,3.1,94.2,75294,5459642,11088,+685,119,+1459,411080,+1459,12620,+14,387372,+760
크로아티아🇭🇷,2.1,95.8,98186,4105267,8101,+1001,99,+1911,403080,+1911,8628,+14,386351,+896
팔레스타인🇵🇸,1.0,92.4,78852,5101414,26356,-1363,75,+3309,402255,+3309,4080,+34,371819,+4638
우루과이🇺🇾,1.6,98.1,111897,3473730,1332,+3,13,+128,388700,+128,6053,,381315,+125
아일랜드🇮🇪,1.3,88.1,78419,4937786,40804,-149,63,+1497,387218,+1497,5209,,341205,+1646
베네수엘라🇻🇪,1.2,95.3,12876,28435940,12812,+174,681,+1392,366150,+1392,4443,+16,348895,+1202
온두라스🇭🇳,2.7,30.1,36878,9904607,245522,+118,418,+654,365259,+654,9755,+50,109982,+486
덴마크🇩🇰,0.7,97.9,61871,5792202,4939,+194,16,+542,358369,+542,2654,+2,350776,+346
도미니카 공화국🇩🇴,1.1,97.5,33000,10847910,5076,+206,156,+465,357982,+465,4041,,348865,+259
에티오피아🇪🇹,1.6,90.4,2984,114963588,27377,-551,780,+799,343104,+799,5488,+49,310239,+1301
리비아🇱🇾,1.4,76.2,49375,6871292,76059,-1093,N/A,+1379,339269,+1379,4636,+19,258574,+2453
리투아니아🇱🇹,1.5,91.6,121173,2722289,22798,-673,214,+1973,329869,+1973,4965,+19,302106,+2627
대한민국🇰🇷,0.8,88.3,6022,51269185,33527,+1079,331,+2885,308725,+2885,2474,+10,272724,+1796
오만🇴🇲,1.3,98.0,59479,5106626,2096,-262,20,+33,303738,+33,4096,+1,297546,+294
이집트🇪🇬,5.7,84.4,2961,102334404,30124,+80,90,+718,303045,+718,17263,+39,255658,+599
몽골🇲🇳,0.4,96.6,91949,3278290,8848,-4117,192,+2515,301434,+2515,1258,+16,291328,+6616
슬로베니아🇸🇮,1.6,94.0,140617,2078938,13112,-26,74,+1339,292333,+1339,4556,+3,274665,+1362
몰도바🇲🇩,2.3,94.5,72200,4033963,9405,-5,174,+1209,291252,+1209,6732,+19,275115,+1195
바레인🇧🇭,0.5,99.2,161571,1701575,733,-17,5,+48,274925,+48,1389,,272803,+65
아르메니아🇦🇲,2.0,92.5,87969,2963243,14185,+413,N/A,+896,260675,+896,5299,+22,241191,+461
케냐🇰🇪,2.1,96.9,4626,53771296,2474,-260,92,+255,248770,+255,5116,+7,241180,+508
카타르🇶🇦,0.3,99.2,82108,2881053,1282,-50,15,+76,236558,+76,605,,234671,+126
보스니아 헤르체고비나🇧🇦,4.5,82.2,71255,3280819,30983,+622,N/A,+654,233775,+654,10574,+32,192218,
잠비아🇿🇲,1.7,98.1,11364,18383955,418,,25,,208912,,3647,,204847,
나이지리아🇳🇬,1.3,94.3,995,206139589,9092,-19,11,+295,205047,+295,2695,+5,193260,+309
알제리🇩🇿,2.9,68.5,4630,43851044,58171,+41,14,+168,203045,+168,5797,+11,139077,+116
북마케도니아🇲🇰,3.5,90.2,91637,2083374,11962,-55,N/A,+464,190463,+464,6630,+23,171871,+496
노르웨이🇳🇴,0.5,47.2,34733,5421241,98482,+344,23,+354,188295,+354,861,+10,88952,
키르기스스탄🇰🇬,1.5,97.0,27351,6524195,2737,-29,131,+69,178444,+69,2605,+1,173102,+97
보츠와나🇧🇼,1.3,97.2,75714,2351627,2679,,1,,178050,,2367,,173004,
우즈베키스탄🇺🇿,0.7,97.1,5181,33469203,3816,-153,23,+510,173409,+510,1234,+4,168359,+659
알바니아🇦🇱,1.6,92.2,58650,2877797,10436,-405,3,+594,168782,+594,2668,+15,155678,+984
라트비아🇱🇻,1.7,92.4,83280,1886198,9210,+745,61,+1203,157083,+1203,2706,+6,145167,+452
에스토니아🇪🇪,0.9,92.2,117199,1326535,10801,+101,18,+747,155469,+747,1352,+1,143316,+645
아프가니스탄🇦🇫,4.6,80.3,3986,38928346,23339,-223,1124,+46,155174,+46,7204,,124631,+269
모잠비크🇲🇿,1.3,97.5,4817,31255435,1817,-225,32,+32,150572,+32,1912,+2,146843,+255
핀란드🇫🇮,0.8,32.6,25428,5540720,93827,+802,25,+802,140889,+802,1062,,46000,
몬테네그로🇲🇪,1.5,93.0,207781,628066,7223,,N/A,,130500,,1914,,121363,
짐바브웨🇿🇼,3.5,94.1,8765,14862924,3036,+170,12,+353,130272,+353,4615,+8,122621,+175
나미비아🇳🇦,2.7,96.3,50176,2540905,1211,+85,18,+120,127493,+120,3494,,122788,+35
가나🇬🇭,0.9,96.4,4088,31072940,3410,,42,,127016,,1150,,122456,
우간다🇺🇬,2.6,77.8,2699,45741007,24210,+170,268,+200,123445,+200,3152,+6,96083,+24
키프로스🇨🇾,0.5,76.7,97981,1207359,26990,+117,33,+117,118298,+117,553,,90755,
캄보디아🇰🇭,2.1,91.5,6679,16718965,7149,+334,N/A,+881,111673,+881,2302,+15,102222,+532
코소보🇽🇰,2.1,98.0,59381,1810463,-85,,N/A,,107507,,2269,,105323,
엘살바도르🇸🇻,3.1,83.2,16088,6486205,14275,-11,127,,104348,,3222,+11,86851,
호주🇦🇺,1.2,72.8,4029,25499884,26670,+1788,301,+1810,102729,+1810,1278,+22,74781,
르완다🇷🇼,1.3,46.8,7504,12952218,50462,+203,11,+208,97190,+208,1259,+1,45469,+4
중국🇨🇳,4.8,94.2,67,1439323776,949,-33,N/A,+25,96106,+25,4636,,90521,+58
싱가포르🇸🇬,0.1,83.1,15687,5850342,15469,+1186,30,+2236,91775,+2236,85,+5,76221,+1045
카메룬🇨🇲,1.6,94.2,3218,26545863,3613,,152,,85414,,1368,,80433,
몰디브🇲🇻,0.3,97.9,156470,540544,1579,+2,23,+95,84579,+95,231,,82769,+93
자메이카🇯🇲,2.2,63.0,28145,2961167,28952,+55,42,+312,83342,+312,1859,+18,52531,+239
룩셈부르크🇱🇺,1.1,97.5,124602,625978,1131,+62,8,+68,77998,+68,835,,76032,+6
세네갈🇸🇳,2.5,97.3,4405,16743927,154,-54,7,+7,73764,+7,1858,+3,71752,+58
말라위🇲🇼,3.7,88.9,3216,19129952,4526,-45,67,+11,61528,+11,2279,+1,54723,+55
코트디부아르🇨🇮,1.0,96.2,2275,26378274,1692,-72,N/A,+43,60020,+43,611,+4,57717,+111
콩고민주공화국🇨🇩,1.9,54.3,635,89561403,24920,,N/A,,56862,,1084,,30858,
앙골라🇦🇴,2.7,84.6,1705,32866272,7093,+351,8,+457,56040,+457,1526,+13,47421,+93
레위니옹🇷🇪,0.7,98.1,59959,895312,653,-215,33,+441,53682,+441,366,+3,52663,+653
과들루프🇬🇵,1.3,4.2,132809,400124,50200,,23,,53140,,690,,2250,
피지🇫🇯,1.2,72.2,56749,896445,13527,,10,,50872,,621,,36724,
트리니다드 토바고🇹🇹,2.9,88.7,35891,1399488,4188,-25,22,+174,50229,+174,1466,+2,44575,+197
에스와티니🇸🇿,2.7,96.0,39538,1160164,629,+13,10,+58,45870,+58,1216,+3,44025,+42
마다가스카르🇲🇬,2.2,96.3,1549,27691018,618,,3,,42898,,958,,41322,
수리남🇸🇷,2.1,65.6,69872,586632,13225,+491,17,+513,40989,+513,870,+9,26894,+13
프랑스령 기아나🇬🇫,0.6,24.6,135827,298682,30312,+773,32,+779,40569,+779,262,+6,9995,
마르티니크🇲🇶,1.4,0.3,108044,375265,39859,,1,,40545,,582,,104,
프랑스령 폴리네시아🇵🇫,1.5,83.4,143029,280908,6061,-1,24,,40178,,617,+1,33500,
수단🇸🇩,7.6,83.8,872,43849260,3291,+18,N/A,+28,38245,+28,2900,,32054,+10
카보베르데🇨🇻,0.9,97.5,67449,555987,605,-41,23,+29,37501,+29,336,,36560,+70
몰타 공화국🇲🇹,1.2,96.8,84085,441543,729,-37,2,+8,37127,+8,457,,35941,+45
모리타니🇲🇷,2.2,95.9,7730,4649658,685,-33,22,+53,35942,+53,773,+1,34484,+85
시리아🇸🇾,6.6,70.4,1922,17500658,7744,+235,N/A,+317,33640,+317,2227,+12,23669,+70
가이아나🇬🇾,2.5,84.9,39869,786552,3942,+35,31,+123,31359,+123,778,+6,26639,+82
기니🇬🇳,1.2,94.8,2313,13132795,1206,-28,24,+18,30382,+18,378,,28798,+46
가봉🇬🇦,0.6,90.3,13261,2225734,2691,,26,,29515,,183,,26641,
토고🇹🇬,0.9,89.8,3059,8278724,2355,-237,N/A,+71,25323,+71,227,,22741,+308
라오스🇱🇦,0.1,23.7,3228,7275560,17903,+1046,N/A,+1047,23488,+1047,17,+1,5568,
베냉🇧🇯,0.7,75.3,1894,12123200,5510,,5,,22958,,154,,17294,
아이티🇭🇹,2.8,89.9,1898,11402528,1574,,N/A,,21647,,610,,19463,
세이셸🇸🇨,0.5,97.9,217058,98347,329,,N/A,,21347,,115,,20903,
바하마🇧🇸,2.5,87.9,53000,393244,1998,+67,15,+67,20842,+67,523,,18321,
벨리즈🇧🇿,2.0,87.5,51040,397628,2129,+157,10,+350,20295,+350,408,+3,17758,+190
마요트🇾🇹,0.9,14.6,74252,272815,17115,+15,N/A,+15,20257,+15,178,,2964,
소말리아🇸🇴,5.6,47.7,1257,15893222,9346,,N/A,,19980,,1111,,9523,
파푸아뉴기니🇵🇬,1.2,92.6,2225,8947024,1243,+300,7,+380,19903,+380,229,+2,18431,+78
동티모르🇹🇱,0.6,95.4,14756,1318445,778,-60,N/A,+10,19455,+10,115,+1,18562,+69
부룬디🇧🇮,0.2,4.4,1472,11890784,16694,,N/A,,17505,,38,,773,
타지키스탄🇹🇯,0.7,99.3,1791,9537645,0,,N/A,,17084,,124,,16960,
퀴라소🇨🇼,1.0,96.4,100114,164093,430,+5,4,+45,16428,+45,162,+1,15836,+39
대만🇹🇼,5.2,84.7,681,23816775,1632,+11,N/A,+11,16216,+11,842,,13742,
아루바🇦🇼,1.1,97.4,144690,106766,241,-12,7,+16,15448,+16,166,,15041,+28
모리셔스🇲🇺,0.5,12.0,12102,1271768,13458,,N/A,,15391,,79,,1854,
안도라🇦🇩,0.9,98.6,196622,77265,76,-2,4,+3,15192,+3,130,,14986,+5
말리🇲🇱,3.6,94.1,750,20250833,350,+3,N/A,+18,15183,+18,548,+1,14285,+14
니카라과🇳🇮,1.4,29.2,2181,6624554,10019,+717,N/A,+718,14448,+718,204,+1,4225,
레소토🇱🇸,2.8,47.4,6720,2142249,7162,,N/A,,14395,,403,,6830,
콩고공화국🇨🇬,1.4,87.2,2581,5518087,1630,,N/A,,14244,,193,,12421,
부르키나파소🇧🇫,1.3,97.6,680,20903273,161,-1,N/A,+14,14213,+14,183,+2,13869,+13
지부티🇩🇯,1.3,95.3,12789,988000,424,+171,N/A,+383,12636,+383,167,+5,12045,+207
홍콩🇭🇰,1.7,97.4,1629,7496981,100,+1,N/A,+5,12214,+5,213,,11901,+4
남수단🇸🇸,1.1,96.6,1070,11193725,283,+27,4,+27,11981,+27,128,,11570,
적도 기니🇬🇶,1.2,86.6,8415,1402985,1439,,1,,11806,,142,,10225,
아이슬란드🇮🇸,0.3,96.7,34462,341243,355,,3,,11760,,33,,11372,
중앙아프리카 공화국🇨🇫,0.9,60.3,2354,4829767,4412,,2,,11371,,100,,6859,
세인트루시아🇱🇨,1.7,85.0,61647,183627,1500,-671,15,+89,11320,+89,195,+9,9625,+751
감비아🇬🇲,3.4,96.4,4109,2416668,24,,3,,9930,,335,,9571,
예멘🇾🇪,19.0,62.1,303,29825964,1707,-8,23,+51,9039,+51,1715,+12,5617,+47
바베이도스🇧🇧,0.9,85.4,27772,287375,1093,+31,N/A,+217,7981,+217,69,+1,6819,+185
맨섬🇮🇲,0.7,94.5,88319,85033,363,+55,1,+55,7510,+55,51,,7096,
뉴칼레도니아🇳🇨,1.6,0.8,25135,285498,7004,+325,53,+338,7176,+338,114,+13,58,
브루나이🇧🇳,0.6,67.9,15886,437479,2188,-4,36,+137,6950,+137,40,+1,4722,+140
에리트레아🇪🇷,0.6,99.0,1888,3546421,26,+2,N/A,+3,6697,+3,42,,6629,+1
시에라리온🇸🇱,1.9,68.5,801,7976983,1891,-1,N/A,,6393,,121,,4381,+1
기니비사우🇬🇼,2.2,86.8,3101,1968001,673,-8,4,+4,6103,+4,135,,5295,+12
니제르🇳🇪,3.4,95.9,248,24206644,45,+2,N/A,+6,5996,+6,201,,5750,+4
라이베리아🇱🇷,4.9,94.2,1146,5057681,53,,2,,5794,,283,,5458,
지브롤터🇬🇮,1.8,97.1,164198,33691,62,,2,,5532,,97,,5373,
산마리노🇸🇲,1.7,97.8,159972,33931,27,,2,,5428,,91,,5310,
버뮤다🇧🇲,1.2,70.2,82613,62278,1470,,1,,5145,,62,,3613,
그레나다🇬🇩,2.7,66.7,44782,112523,1543,-252,N/A,+34,5039,+34,135,+5,3361,+281
차드🇹🇩,3.5,96.4,307,16425864,8,+1,N/A,+2,5036,+2,174,,4854,+1
신트마르턴🇸🇽,1.5,94.3,99426,42876,175,+18,10,+28,4263,+28,66,,4022,+10
뉴질랜드🇳🇿,0.6,93.3,881,4822233,256,+40,5,+44,4248,+44,27,,3965,+4
코모로🇰🇲,3.6,95.7,4757,869601,29,+8,N/A,+9,4137,+9,147,,3961,+1
세인트마틴 섬🇲🇫,1.5,37.5,96390,38666,2273,,7,,3727,,55,,1399,
리히텐슈타인🇱🇮,1.7,97.6,90406,38128,24,-6,2,+2,3447,+2,60,,3363,+8
상투메 프린시페🇸🇹,1.5,79.4,15550,219159,652,+32,N/A,+59,3408,+59,50,+1,2706,+26
세인트빈센트 그레나딘🇻🇨,0.6,71.4,30368,110940,943,-10,2,+10,3369,+10,19,+1,2407,+19
모나코🇲🇨,1.0,98.1,84399,39242,29,+1,2,+6,3312,+6,33,,3250,+5
도미니카 연방🇩🇲,0.5,81.4,45745,71986,598,,N/A,,3293,,15,,2680,
앤티가 바부다🇦🇬,2.4,67.2,32268,97929,961,-16,9,+237,3160,+237,76,+12,2123,+241
터크스 케이커스 제도🇹🇨,0.8,97.2,73249,38717,55,-7,1,+2,2836,+2,23,,2758,+9
영국령 버진아일랜드🇻🇬,1.4,96.7,87394,30231,50,,7,,2642,,37,,2555,
부탄🇧🇹,0.1,99.7,3371,771608,5,+1,N/A,+1,2601,+1,3,,2593,
카리브 네덜란드🇧🇶,0.9,92.7,78862,26223,131,+23,N/A,+23,2068,+23,19,,1918,
세인트키츠 네비스🇰🇳,0.6,51.8,35546,53199,899,+14,1,+19,1891,+19,12,+1,980,+4
생바르텔레미🇧🇱,0.2,29.5,158449,9877,1100,,N/A,,1565,,3,,462,
탄자니아🇹🇿,3.7,13.4,23,59734218,1134,,7,,1367,,50,,183,
페로 제도🇫🇴,0.2,92.9,23331,48863,79,,N/A,,1140,,2,,1059,
케이맨 제도🇰🇾,0.2,92.9,12477,65722,56,+7,N/A,+8,820,+8,2,,762,+1
그린란드🇬🇱,-,77.2,10058,56770,130,-37,2,+6,571,+6,0,,441,+43
왈리스 퓌티나🇼🇫,1.6,98.4,-,-,0,,N/A,,445,,7,,438,
앵귈라🇦🇮,0.3,93.1,25928,15003,26,,N/A,,389,,1,,362,
마카오🇲🇴,-,88.7,109,649335,8,+1,N/A,+1,71,+1,0,,63,
포클랜드 제도🇫🇰,-,94.0,19253,3480,4,,N/A,,67,,0,,63,
몬트세랫🇲🇸,3.0,90.9,6611,4992,2,,N/A,,33,,1,,30,
생피에르 미클롱🇵🇲,-,100,5350,5794,0,,N/A,,31,,0,,31,
바티칸 시국🇻🇦,-,100,33708,801,0,,N/A,,27,,0,,27,
솔로몬 제도🇸🇧,-,100,29,686884,0,,N/A,,20,,0,,20,
서사하라🇪🇭,10,80,17,597339,1,,N/A,,10,,1,,8,
잔담(크루즈)🚢,22.2,77.8,-,-,0,,N/A,,9,,2,,7,
팔라우🇵🇼,-,100,276,18094,0,,N/A,,5,,0,,5,
마셜 제도🇲🇭,-,100,68,59190,0,,N/A,,4,,0,,4,
바누아투🇻🇺,25,75,13,307145,0,,N/A,,4,,1,,3,
사모아🇼🇸,-,100,15,198414,0,,N/A,,3,,0,,3,
세인트헬레나🇸🇭,-,100,329,6077,0,,N/A,,2,,0,,2,
미크로네시아🇫🇲,-,100,9,115023,0,,N/A,,1,,0,,1,
