한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
미국,U.S.,64.4,55.8,13.0,52.5,0.13309770138366656,701422.0,1.6,76.1,133098,331002651,9823512.0,-14871.0,21296.0,113357.0,44055692,113357.0,711222,2103.0,33520958.0,126125.0,391152580.0,61.1
인도,India,46.7,16.8,103.0,119.0,0.024433968736990642,7178901.0,1.3,97.8,24434,1380004385,284976.0,-4806.0,8944.0,4743.0,33718984,4743.0,447828,129.0,32986180.0,9420.0,876538600.0,32.0
브라질,Brazil,71.3,41.9,29.0,70.5,0.10059206174808054,1317163.0,2.8,95.3,100592,212559417,403027.0,-7475.0,8318.0,15395.0,21381790,15395.0,595520,818.0,20383243.0,22052.0,233261970.0,56.5
영국,U.K.,73.0,67.1,20.0,24.0,0.11395919256472442,63126.0,1.8,80.9,113959,67886011,1344510.0,-1886.0,831.0,34520.0,7736235,34520.0,136375,167.0,6255350.0,36239.0,93565470.0,70.0
러시아,Russia,32.6,28.5,77.0,89.0,0.051304797354856456,214966.0,2.8,88.9,51305,145934462,626809.0,3117.0,2300.0,22430.0,7487138,22430.0,206388,857.0,6653941.0,18456.0,89865310.0,30.6
터키,Turkey,64.5,53.0,44.0,57.0,0.08413159230229568,381129.0,0.9,92.4,84132,84339067,479198.0,-1683.0,633.0,28892.0,7095580,28892.0,63611,239.0,6552771.0,30336.0,108761680.0,65.4
프랑스,France,77.4,74.6,23.0,12.0,0.10727771331313862,229555.0,1.7,96.4,107278,65273511,135537.0,-6063.0,1609.0,6765.0,7002393,6765.0,116615,78.0,6750241.0,12750.0,94250530.0,72.7
이란,Iran,35.5,16.8,62.0,119.0,0.06635035519469616,1368407.0,2.2,89.9,66350,83992949,443129.0,-8565.0,6016.0,13271.0,5572962,13271.0,120160,272.0,5009673.0,21564.0,43372270.0,26.0
아르헨티나,Argentina,65.7,48.3,18.0,62.0,0.11624460729447846,222650.0,2.2,97.4,116245,45195774,23643.0,260.0,1184.0,1825.0,5253765,1825.0,115038,84.0,5115084.0,1481.0,51222136.0,57.0
콜롬비아,Colombia,51.4,32.8,33.0,84.0,0.09736820967975267,169329.0,2.5,96.8,97368,50882891,32182.0,-943.0,542.0,1686.0,4954376,1686.0,126219,41.0,4795975.0,2588.0,39701908.0,39.4
스페인,Spain,81.0,78.5,26.0,6.0,0.10595558811123004,72816.0,1.7,95.8,105956,46754778,122061.0,-7259.0,771.0,2290.0,4953930,2290.0,86358,60.0,4745511.0,9489.0,69936750.0,75.2
이탈리아,Italy,74.5,74.5,51.0,13.0,0.07715693204502293,211345.0,2.8,95.1,77157,60461826,98872.0,-2208.0,459.0,2962.0,4665049,2962.0,130807,65.0,4435370.0,5105.0,84351560.0,69.9
독일,Germany,67.9,64.2,79.0,31.0,0.05038353292090267,194817.0,2.2,94.5,50384,83783942,137491.0,-2461.0,1435.0,9130.0,4221331,9130.0,94140,91.0,3989700.0,11500.0,107197990.0,64.5
인도네시아,Indonesia,32.9,18.4,111.0,114.5,0.015404205592997884,1916012.0,3.4,95.7,15404,273523615,37412.0,-1240.0,,1954.0,4213414,1954.0,141826,117.0,4034176.0,3077.0,139232210.0,26.1
멕시코,Mexico,49.8,35.0,95.0,80.0,0.028275197071142972,536693.0,7.6,82.3,28275,128932753,370163.0,1755.0,4798.0,9792.0,3645599,9792.0,276376,700.0,2999060.0,7337.0,99366400.0,38.9
폴란드,Poland,52.1,51.1,53.0,60.0,0.07678008474787874,25851.0,2.6,91.6,76780,37846611,168111.0,1196.0,174.0,1235.0,2905866,1235.0,75623,22.0,2662132.0,17.0,37158644.0,48.9
필리핀,Philippines,23.5,19.2,105.0,110.0,0.023140235944749513,369770.0,1.5,93.3,23140,109581078,132339.0,200.0,3170.0,12767.0,2535732,12767.0,38164,478.0,2365229.0,12089.0,44361284.0,20.7
우크라이나,Ukraine,29.6,13.2,75.0,124.5,0.055143255226934286,157673.0,2.3,93.4,55143,43733762,104190.0,6168.0,177.0,9666.0,2411622,9666.0,56080,217.0,2251352.0,3281.0,17867952.0,21.4
말레이시아,Malaysia,70.6,60.7,60.0,39.0,0.06860674994150497,300427.0,1.2,91.0,68607,32365999,174492.0,-3068.0,985.0,11332.0,2220526,11332.0,25935,240.0,2020099.0,14160.0,43028920.0,66.0
페루,Peru,46.7,31.1,63.0,86.0,0.06594166648924261,246687.0,9.2,,65942,32971854,,,1021.0,865.0,2174219,865.0,199329,15.0,,,25912376.0,39.1
네덜란드,Netherlands,70.3,63.6,17.0,32.0,0.11679964694221234,20051.0,0.9,,116800,17134872,,,155.0,1755.0,2001347,1755.0,18168,6.0,,,23540560.0,68.3
이라크,Iraq,11.7,7.3,81.0,136.5,0.04974502699273265,110874.0,1.1,95.3,49745,40222493,71237.0,-1169.0,497.0,2254.0,2000869,2254.0,22221,34.0,1907411.0,3389.0,7448300.0,9.5
일본,Japan,69.5,58.2,113.0,44.0,0.01344381386509542,1134065.0,1.0,96.9,13444,126476461,34636.0,-2506.0,1002.0,1982.0,1700326,1982.0,17625,48.0,1648065.0,4440.0,161057150.0,63.8
체코,Czech Republic,57.0,55.8,7.0,52.5,0.1578822485538073,8874.0,1.8,97.8,157882,10708981,6284.0,50.0,38.0,470.0,1690758,470.0,30455,1.0,1654019.0,419.0,11788930.0,55.3
칠레,Chile,78.5,73.8,41.0,16.0,0.08649239459241928,109701.0,2.3,97.3,86492,19116201,6944.0,182.0,386.0,611.0,1653406,611.0,37455,6.0,1609007.0,423.0,31553676.0,82.6
캐나다,Canada,76.2,70.6,86.0,21.0,0.042813110242727534,105929.0,1.7,95.5,42813,37742154,44777.0,-1676.0,776.0,3428.0,1615859,3428.0,27754,56.0,1543328.0,5048.0,56036104.0,74.7
태국,Thailand,42.4,22.8,106.0,102.0,0.022805580253907817,640484.0,1.0,91.7,22806,69799978,115423.0,-1288.0,3324.0,10414.0,1591829,10414.0,16620,122.0,1459786.0,11580.0,46023016.0,33.1
방글라데시,Bangladesh,14.9,10.0,120.0,129.0,0.009442326953158844,504273.0,1.8,97.4,9442,164689383,12602.0,75.0,1408.0,1178.0,1555051,1178.0,27487,17.0,1514962.0,1086.0,41466456.0,12.4
이스라엘,Israel,67.3,62.1,10.0,36.0,0.1473513768935138,29290.0,0.6,95.1,147351,8655535,54167.0,-2722.0,659.0,5175.0,1275405,5175.0,7692,8.0,1213546.0,7889.0,14970627.0,82.7
파키스탄,Pakistan,28.3,13.4,130.0,123.0,0.005628918594460994,670870.0,2.2,93.9,5629,220892340,48506.0,-1462.0,3948.0,1560.0,1243385,1560.0,27690,52.0,1167189.0,2970.0,79533210.0,19.4
벨기에,Belgium,74.8,73.2,24.0,17.0,0.1070122815901777,22185.0,2.1,92.9,107012,11589623,62296.0,1861.0,206.0,1874.0,1240232,1874.0,25581,13.0,1152355.0,,16644129.0,72.6
루마니아,Romania,28.2,27.5,65.0,95.0,0.06350221552056325,20423.0,3.0,90.9,63502,19237691,74229.0,4573.0,1320.0,10826.0,1221636,10826.0,36865,207.0,1110542.0,6046.0,10114580.0,26.1
스웨덴,Sweden,69.2,63.3,19.0,33.0,0.11407038036926449,30188.0,1.3,,114070,10099265,,,37.0,854.0,1152027,854.0,14814,6.0,,,13703515.0,66.3
포르투갈,Portugal,86.9,84.0,27.0,3.0,0.10479165385616085,23657.0,1.7,95.5,104792,10196709,30495.0,-52.0,68.0,755.0,1068530,755.0,17968,6.0,1020067.0,801.0,15950862.0,77.6
세르비아,Serbia,43.4,41.4,25.0,73.0,0.1069475017141884,15790.0,0.9,85.4,106948,8737371,127947.0,2082.0,243.0,8171.0,934440,8171.0,8187,45.0,798306.0,6044.0,6409263.0,46.0
모로코,Morocco,61.6,51.6,102.0,58.5,0.025220180891322157,237441.0,1.5,97.0,25220,36910560,13888.0,-392.0,498.0,1192.0,930891,1192.0,14225,26.0,902778.0,1558.0,40273384.0,56.6
카자흐스탄,Kazakhstan,40.4,34.4,84.0,81.0,0.0470068580182883,56369.0,1.3,92.7,47007,18776707,52971.0,-974.0,221.0,1925.0,882634,1925.0,11142,42.0,818521.0,2857.0,14013701.0,37.6
쿠바,Cuba,79.8,43.6,52.0,67.0,0.07702432924361521,270811.0,0.8,95.6,77024,11326616,31043.0,-1708.0,421.0,5617.0,872425,5617.0,7378,48.0,834004.0,7277.0,20298170.0,89.6
스위스,Switzerland,64.3,58.3,34.0,43.0,0.09696760875287216,28480.0,1.3,91.3,96968,8654622,62199.0,-4748.0,186.0,1451.0,839218,1451.0,11087,8.0,765932.0,6191.0,10358035.0,60.6
헝가리,Hungary,60.2,57.7,42.0,45.5,0.0850975290649377,5617.0,3.7,95.4,85098,9660351,7348.0,-184.0,81.0,546.0,822072,546.0,30185,6.0,784539.0,724.0,11167215.0,57.1
요르단,Jordan,36.6,32.3,49.0,85.0,0.08054780031311948,16091.0,1.3,97.2,80548,10203134,12397.0,69.0,480.0,1042.0,821840,1042.0,10703,6.0,798740.0,967.0,6960192.0,34.6
네팔,Nepal,23.9,21.7,99.0,103.0,0.027256348739367744,186712.0,1.4,96.3,27256,29136808,18193.0,-229.0,,892.0,794163,892.0,11123,8.0,764847.0,1113.0,13166598.0,23.1
베트남,Vietnam,32.1,8.6,123.0,135.0,0.008007082166260102,621033.0,2.5,74.9,8007,97338579,176791.0,-14972.0,,8758.0,779398,8758.0,19098,162.0,583509.0,23568.0,39232772.0,20.3
오스트리아,Austria,64.5,60.9,47.0,38.0,0.08227995254040517,9919.0,1.5,95.8,82280,9006398,19979.0,62.0,226.0,2283.0,741046,2283.0,10998,12.0,710069.0,2209.0,10802266.0,61.0
아랍에미레이트,UAE,85.9,76.1,56.0,8.0,0.07438797735420663,59157.0,0.3,99.0,74388,9890402,5437.0,-81.0,,270.0,735727,270.0,2095,1.0,728195.0,350.0,19963360.0,92.9
튀니지,Tunisia,40.5,29.0,69.0,87.5,0.059762820004604596,36864.0,3.5,95.4,59763,11818619,7482.0,240.0,295.0,840.0,706314,840.0,24842,48.0,673990.0,552.0,7425277.0,31.5
그리스,Greece,59.9,56.6,66.0,49.0,0.06249396769891051,22088.0,2.3,93.4,62494,10423054,28545.0,3263.0,322.0,3287.0,651378,3287.0,14751,24.0,608082.0,,12088975.0,56.4
레바논,Lebanon,23.5,19.3,38.0,109.0,0.09127360926650203,28922.0,1.3,95.0,91274,6825445,22532.0,-610.0,200.0,543.0,622983,543.0,8306,10.0,592145.0,1143.0,2929966.0,21.4
조지아,Georgia,26.2,21.1,9.0,104.0,0.1532322412172767,12798.0,1.5,95.3,153232,3989167,19547.0,-18.0,,1929.0,611269,1929.0,8917,33.0,582805.0,1914.0,1760878.0,23.6
과테말라,Guatemala,24.9,13.1,93.0,126.0,0.03088314029451927,73439.0,2.4,92.5,30883,17915568,28158.0,-1004.0,5.0,2956.0,553289,2956.0,13453,59.0,511678.0,3901.0,6757605.0,19.2
사우디아라비아,Saudi Arabia,68.4,54.4,109.0,55.0,0.015714713253231736,101318.0,1.6,98.0,15715,34813871,2252.0,5.0,224.0,55.0,547090,55.0,8713,4.0,536125.0,46.0,41886224.0,61.4
벨라루스,Belarus,19.8,16.0,74.0,121.0,0.05673390569885271,26145.0,0.8,96.5,56734,9449323,14658.0,698.0,,1993.0,536097,1993.0,4114,,517325.0,1295.0,3389520.0,17.9
코스타리카,Costa Rica,64.5,39.5,28.0,75.0,0.10366406903020307,12.0,1.2,80.7,103664,5094118,95376.0,731.0,449.0,2078.0,528077,2078.0,6316,39.0,426385.0,1308.0,5278479.0,52.0
스리랑카,Sri Lanka,66.0,53.3,104.0,56.0,0.0240750014161793,167003.0,2.5,88.5,24075,21413249,46651.0,134.0,,932.0,515524,932.0,12786,55.0,456087.0,743.0,26096108.0,59.8
에콰도르,Ecuador,64.2,57.0,94.0,48.0,0.02883032608753564,16381.0,6.4,87.3,28830,17643054,32028.0,,759.0,,508655,,32747,,443880.0,,20571336.0,59.6
볼리비아,Bolivia,36.8,28.2,87.0,91.0,0.042803658110441165,33238.0,3.7,91.8,42804,11673021,22033.0,-235.0,220.0,446.0,499648,446.0,18716,9.0,458899.0,672.0,6700654.0,29.0
불가리아,Bulgaria,17.3,19.0,58.0,111.0,0.0716663944235005,5780.0,4.2,87.2,71666,6948445,42771.0,327.0,449.0,2573.0,497970,2573.0,20725,87.0,434474.0,2159.0,2521738.0,18.1
아제르바이잔,Azerbaijan,47.2,36.4,83.0,78.0,0.04747929738281519,53286.0,1.3,94.1,47479,10139177,21957.0,,,,481401,,6476,,452968.0,,8350575.0,41.8
파나마,Panama,69.7,57.5,22.0,47.0,0.10813770477061681,16408.0,1.5,97.7,108138,4314767,3420.0,-144.0,61.0,232.0,466589,232.0,7219,3.0,455950.0,373.0,5367816.0,63.6
미얀마,Myanmar,10.5,6.6,122.0,138.0,0.008473951383758073,163440.0,3.8,90.1,8474,54409800,28059.0,27.0,,1630.0,461066,1630.0,17631,48.0,415376.0,1555.0,9001616.0,8.5
파라과이,Paraguay,36.7,26.1,64.0,98.0,0.06447901153838928,9935.0,3.5,96.3,64479,7132538,751.0,-59.0,21.0,44.0,459899,44.0,16193,2.0,442955.0,101.0,4488153.0,31.4
쿠웨이트,Kuwait,56.2,19.4,35.0,107.5,0.09637399776282844,12990.0,0.6,99.2,96374,4270571,665.0,3.0,10.0,39.0,411572,39.0,2448,1.0,408459.0,35.0,2380000.0,25.1
슬로바키아,Slovakia,44.8,41.3,55.0,74.0,0.07529431416931733,6412.0,3.1,94.2,75294,5459642,11088.0,685.0,119.0,1459.0,411080,1459.0,12620,14.0,387372.0,760.0,4762272.0,43.7
크로아티아,Croatia,44.5,41.7,31.0,72.0,0.09818606195407022,6307.0,2.1,95.8,98186,4105267,8101.0,1001.0,99.0,1911.0,403080,1911.0,8628,14.0,386351.0,896.0,3413174.0,42.0
우루과이,Uruguay,77.7,72.9,21.0,19.0,0.11189700984244602,20806.0,1.6,98.1,111897,3473730,1332.0,3.0,13.0,128.0,388700,128.0,6053,,381315.0,125.0,6214949.0,88.3
아일랜드,Ireland,76.1,74.1,50.0,14.5,0.07841935636740839,9025.0,1.3,88.1,78419,4937786,40804.0,-149.0,63.0,1497.0,387218,1497.0,5209,,341205.0,1646.0,7200652.0,72.7
베네수엘라,Venezuela,31.6,18.9,115.0,112.0,0.012876310753222858,246316.0,1.2,95.3,12876,28435940,12812.0,174.0,681.0,1392.0,366150,1392.0,4443,16.0,348895.0,1202.0,14050000.0,25.3
온두라스,Honduras,32.8,20.4,90.0,106.0,0.03687768732267722,46577.0,2.7,30.1,36878,9904607,245522.0,118.0,418.0,654.0,365259,654.0,9755,50.0,109982.0,486.0,5196072.0,26.6
덴마크,Denmark,76.7,75.1,67.0,9.5,0.061870943036862316,4355.0,0.7,97.9,61871,5792202,4939.0,194.0,16.0,542.0,358369,542.0,2654,2.0,350776.0,346.0,8815419.0,75.9
에티오피아,Ethiopia,2.9,0.8,147.0,163.5,0.0029844580007367203,50195.0,1.6,90.4,2984,114963588,27377.0,-551.0,780.0,799.0,343104,799.0,5488,49.0,310239.0,1301.0,3535329.0,1.8
리비아,Libya,20.7,2.8,82.0,149.0,0.04937484828180785,11651.0,1.4,76.2,49375,6871292,76059.0,-1093.0,,1379.0,339269,1379.0,4636,19.0,258574.0,2453.0,1546967.0,11.8
리투아니아,Lithuania,62.5,57.7,15.0,45.5,0.12117339488937434,21363.0,1.5,91.6,121173,2722289,22798.0,-673.0,214.0,1973.0,329869,1973.0,4965,19.0,302106.0,2627.0,3199916.0,57.5
대한민국,South Korea,74.5,46.3,129.0,64.0,0.0060216482863926935,533067.0,0.8,88.3,6022,51269185,33527.0,1079.0,331.0,2885.0,308725,2885.0,2474,10.0,272724.0,1796.0,62462920.0,60.4
오만,Oman,69.1,48.9,70.0,61.0,0.059479194286011935,38813.0,1.3,98.0,59479,5106626,2096.0,-262.0,20.0,33.0,303738,33.0,4096,1.0,297546.0,294.0,4946987.0,59.0
이집트,Egypt,9.7,5.5,148.0,141.0,0.00296132080859141,303446.0,5.7,84.4,2961,102334404,30124.0,80.0,90.0,718.0,303045,718.0,17263,39.0,255658.0,599.0,15057720.0,7.6
몽골,Mongolia,68.3,64.5,36.0,29.5,0.09194854634580833,16573.0,0.4,96.6,91949,3278290,8848.0,-4117.0,192.0,2515.0,301434,2515.0,1258,16.0,291328.0,6616.0,4545348.0,68.9
슬로베니아,Slovenia,54.1,48.1,12.0,63.0,0.14061650708198128,6460.0,1.6,94.0,140617,2078938,13112.0,-26.0,74.0,1339.0,292333,1339.0,4556,3.0,274665.0,1362.0,2113404.0,52.1
몰도바,Moldova,22.9,29.0,57.0,87.5,0.07219996812067934,3561.0,2.3,94.5,72200,4033963,9405.0,-5.0,174.0,1209.0,291252,1209.0,6732,19.0,275115.0,1195.0,1392707.0,26.0
바레인,Bahrain,78.4,75.0,5.0,11.0,0.16157089755079854,3999.0,0.5,99.2,161571,1701575,733.0,-17.0,5.0,48.0,274925,48.0,1389,,272803.0,65.0,2568320.0,86.5
아르메니아,Armenia,8.9,4.8,40.0,143.0,0.08796949828279355,5965.0,2.0,92.5,87969,2963243,14185.0,413.0,,896.0,260675,896.0,5299,22.0,241191.0,461.0,408535.0,6.9
케냐,Kenya,5.7,1.9,135.0,155.0,0.00462644605032395,30756.0,2.1,96.9,4626,53771296,2474.0,-260.0,92.0,255.0,248770,255.0,5116,7.0,241180.0,508.0,3613357.0,3.8
